id,amount,category,description,date,created_by,created_at,timestamp
1276b0ac-d5e6-410b-a22c-75016c157555,1000,,فستق مسحوب منه القهوه وعصير,2026-02-01,,2026-02-01 15:41:53.392459+00,
1765021380125,4500,,"كاسات مي مالت سبوع كامل ابو الاسواق يطلبني راح اطي اليوم ",2025-12-06,,2025-12-06 11:43:02.236826+00,1765021380128
1765024459859,1000,,كهوه,2025-12-06,,2025-12-06 12:34:21.818321+00,1765024459859
1765038801361,1000,,فستق مسحوب منه الهوه و عصير,2025-12-06,,2025-12-06 16:33:23.465876+00,1765038801361
1765121766180,1000,,كبتشينو,2025-12-07,,2025-12-07 15:36:08.30153+00,1765121766180
1765202786367,1000,,كبتشينو,2025-12-08,,2025-12-08 14:06:29.074756+00,1765202786371
1765202795774,1500,,ماء,2025-12-08,,2025-12-08 14:06:38.108839+00,1765202795774
1765625934956,23000,,وست بركر,2025-12-13,,2025-12-13 11:38:55.994653+00,1765625934962
1765625944216,1000,,كبتشينو,2025-12-13,,2025-12-13 11:39:05.166202+00,1765625944216
1765625953255,2000,,ماء,2025-12-13,,2025-12-13 11:39:14.185895+00,1765625953255
1765629984725,8500,,كلنس,2025-12-13,,2025-12-13 12:46:25.759352+00,1765629984725
1765636330775,4000,,٢ نرمل سلاين,2025-12-13,,2025-12-13 14:32:11.988089+00,1765636330775
1765724269380,1500,,عصير للمراج الي يدوخ,2025-12-14,,2025-12-14 14:57:50.772442+00,1765724269381
1765808414148,2000,,مرشات كحول ٢,2025-12-15,,2025-12-15 14:20:15.349654+00,1765808414149
1765808422331,500,,كبتشينو,2025-12-15,,2025-12-15 14:20:23.448053+00,1765808422331
1765809465858,4000,,٢ نرمل سلاين,2025-12-15,,2025-12-15 14:37:52.708495+00,1765809465858
1765809522066,12000,,"كمامات ٤ كارتون صغير ",2025-12-15,,2025-12-15 14:38:43.226413+00,1765809522066
1765973691123,250,,دبه مي ارو,2025-12-17,,2025-12-17 12:14:52.455551+00,1765973691127
1765973704929,1500,,"كاسات مي ",2025-12-17,,2025-12-17 12:15:06.180998+00,1765973704929
1765973714717,250,,"بطل مي ",2025-12-17,,2025-12-17 12:15:15.978672+00,1765973714717
1765979750951,1000,,كبتشينو,2025-12-17,,2025-12-17 13:55:52.302916+00,1765979750951
